id	name	definition	unit	value	ref_id	supporting_refs	ref_note	confidence	validated_by
biological_volume	Volume (biological)	Physical brain volume to be mapped	mm³	500	sobe_2025		Complete mouse brain volume	derived	human
neuron_count	Number of neurons	Number of neurons in the given volume	count	70000000	sobe_2025		Based on State of Brain Emulation report	derived	human
risk_buffer_first	Risk buffer first connectome	Budget and schedule contingency fraction	fraction	0.2			Standard range of risk buffers (20%); Internal estimate	assumed	human
risk_buffer_marginal	Risk buffer marginal connectomes	Budget and schedule contingency fraction	fraction	0.05			Standard range of risk buffers (5%); Internal estimate	assumed	human
years_until_start	Years until start	Years from now when initial purchases are made	years	0			Planning assumption; Internal estimate	assumed	human
project_duration	Project duration	Time span for overall project	years	5			Planning assumption; Internal estimate	assumed	human
microscope_budget	Microscope budget	Upfront investment in microscopes	$	50000000			Planning assumption; Internal estimate	assumed	human
max_parallel_gpus	Max parallel GPUs	Number of GPUs dedicated during processing	count	1000			Planning assumption; Internal estimate	assumed	human
facility_cost_per_year	Facility per year	Cleanroom, isolation, HVAC, racks	$/year	2000000			Planning assumption; Internal estimate	assumed	human
avg_staff_salary	Average staff salary	Average salary with all overheads	$/year	150000			Planning assumption; Internal estimate	assumed	human
project_mgmt_staff	Project management staff	Staff for project oversight	FTE	10			Planning assumption; Internal estimate	assumed	human
technical_staff	Technical staff	Beyond sample and microscope operations	FTE	15			Planning assumption; Internal estimate	assumed	human
misc_staff	Misc staff	Operations, assistants, PR, etc	FTE	10			Planning assumption; Internal estimate	assumed	human
other_costs_per_connectome	Other costs per connectome	Shipping, permits, biosafety, IP, pubs	$	250000			Miscellaneous project costs; Internal estimate	assumed	human
data_science_cost	Data science development	Pipelines, data mgmt, viewers, model training	$	2000000		tavakoli2024	LICONN: 30d×32 V100s≈$10k; plus semantic classifier 16 V100s×38h; 10x multiplier for multiple models; Internal estimate	estimated	human
capital_base	Capital base	Scopes + facility + core SW + initial training	$	55000000			Calculation: scopes + facility + development; Internal estimate	derived	human
peak_flops_gpu	Peak FLOPs/s GPU	Maximum FP16 FLOP/s for GPU	TFLOPs/s	1979	nvidia_h100_2024		H100 FP16 1,979 TFLOPs; current connectomics uses FP32 but FP16 reasonable at scale	measured	human
gpu_utilization	GPU utilization	Continuous GPU usage across time	fraction	0.8			Typical continuous utilization estimate; Internal estimate	estimated	human
gpu_cost_per_hour	GPU cost per hour	Costs for access to 1h of GPU	$/hour	2			At-scale pricing for cloud GPUs; Internal estimate	estimated	human
cost_drop_compute_per_year	Cost drop compute/year	Cost drop compute per year	fraction	0.1			Based on historical compute cost trends; Internal estimate	estimated	human
cost_drop_storage_per_year	Cost drop storage/year	Cost drop storage per year	fraction	0.05			Based on historical storage cost trends; Internal estimate	estimated	human
active_storage_cost_pb_month	Active storage cost	Storage for working files	$/PB-month	2625	aws_s3_pricing_2025		S3 Frequent Access $0.021/GB; on-prem assumed 8x cheaper at scale	derived	human
archive_storage_cost_pb_month	Archive storage cost	Storage for backup files	$/PB-month	2000	aws_s3_pricing_2025		S3 Archive Instant $0.004/GB; on-prem assumed 2x cheaper	derived	human
bytes_per_voxel	Bytes per voxel	Assuming 8-bits per voxel	bytes	1			Standard 8-bit grayscale; Internal estimate	assumed	human
lossless_compression	Lossless compression	Raw to lossless ratio	×	1.5	wellcome_connectomics_2024		Per Wellcome Trust Report; compression parallel to image acquisition	derived	human
lossy_compression	Lossy compression	Raw to lossy ratio	×	120			120x compression demonstrated for EM data; parallel to image acquisition; Internal estimate	estimated	human
label_overhead	Label overhead	Labels + meshes + skeletons + graphs	fraction	0.05			Estimate for image overlays and annotations; Internal estimate	estimated	human
replicas_active_first	Replicas active (first)	Hot copies lossless online first	count	3			Data redundancy assumption; Internal estimate	assumed	human
replicas_archive_first	Replicas archive (first)	Cold copies retained first	count	2			Data redundancy assumption; Internal estimate	assumed	human
replicas_active_marginal	Replicas active (marginal)	Hot copies lossless online marginal	count	1			Data redundancy assumption; Internal estimate	assumed	human
replicas_archive_marginal	Replicas archive (marginal)	Cold copies retained marginal	count	0			Data redundancy assumption; Internal estimate	assumed	human
active_retention_years	Active retention	How long active copies are kept	years	5			Data lifecycle assumption; Internal estimate	assumed	human
archive_retention_years	Archive retention	How long archive copies are kept	years	10			Data lifecycle assumption; Internal estimate	assumed	human
active_cost_pb_year	Active storage cost/PB-year	Online storage price	$/PB-year	31500	aws_s3_pricing_2025		Calculated: $2625/PB-month × 12	derived	human
archive_cost_pb_year	Archive storage cost/PB-year	Archive storage price	$/PB-year	24000	aws_s3_pricing_2025		Calculated: $2000/PB-month × 12	derived	human
flops_registration_per_tile	FLOPs registration/tile	FP32-equivalent per tile	TFLOP/tile	450	microns_2021		MICrONS: 230h×1200 T4s (6.5 TFLOPS)=6.46B TFLOPs for 14.4M tiles≈450/tile	derived	human
segmentation_flops_per_voxel	Segmentation FLOPs/voxel	FP32-equivalent per voxel	TFLOP/voxel	2.4e-06	januszewski2018	sheridan2022	LSDs: 2M FLOP/voxel (1/100 of FFN's 2.42×10⁸); see Nature Methods supplements	derived	human
registration_rate_pv_per_day	Registration rate	PV processed per day per GPU	PV/day/GPU	10			Processing rate estimate; Internal estimate	estimated	human
segmentation_rate_pv_per_day	Segmentation rate	PV processed per day per GPU	PV/day/GPU	5			Processing rate estimate; Internal estimate	estimated	human
sample_duration	Sample duration	Individual sample duration for recordings	seconds	0.1			Recording protocol assumption; Internal estimate	assumed	human
brain_area_repetitions	Brain area repetitions	How often experiments cover the same brain volume (different states)	count	1			Recording protocol assumption; Internal estimate	assumed	human
connectomics_scan_percentage	Connectomics scan percentage	Percent of recorded volume for aligned structural/functional datasets	fraction	0.1			Protocol assumption; Internal estimate	assumed	human
neurons_at_single_resolution	Neurons at single resolution	Number of individual neurons that can be recorded at single neuron resolution	count	5000			Current technology capability; Internal estimate	estimated	human
experiment_cost	Experiment cost	Total costs per experiment	$	500000			Typical neuroscience experiment budget; Internal estimate	estimated	human
simulation_hours	Simulation hours	Total hours of simulation to run	hours	1000			Simulation run time assumption; Internal estimate	assumed	human
storage_bytes_lower	Storage bytes lower bound	Simulation memory requirement lower bound	bytes	1.08e12			Calculated from model parameters; Internal estimate	derived	human
flops_time_based_lower	FLOPS time-based lower	FLOPS per second of sim lower bound	FLOPS	6.75e15			Calculated from model parameters; Internal estimate	derived	human
gpu_memory_gb	GPU memory	Memory per GPU in gigabytes	GB	80	nvidia_h100_2024		H100 HBM3 memory capacity	measured	human
gpu_tflops	GPU TFLOPs	GPU compute performance in TFLOPS	TFLOPS	310	nvidia_h100_2024		H100 FP32 tensor core performance	measured	human
experiment_length	Experiment length	Total duration of recording across multiple sessions	hours	0.5			Recording protocol assumption; Internal estimate	assumed	human
brain_volume_coverage	Brain volume coverage	Percentage of total brain volume to record	fraction	1.0			Full brain coverage target; Internal estimate	assumed	human
experiment_brain_volume	Experiment brain volume	Brain volume covered by recording	mm³	10			Recording setup assumption; Internal estimate	assumed	human
experiment_data_volume	Experiment data volume	Uncompressed raw data generated by experiment	TB	0.09			Calculated from recording parameters; Internal estimate	derived	human
